,file,line,severity,issue,snippet
2871,/audit/backend/public/api/candidate_education.php,495,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'] ?? 'unknown',"
2872,/audit/backend/public/api/candidate_education.php,497,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2873,/audit/backend/public/api/candidate_education.php,507,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'] ?? 'unknown',"
2874,/audit/backend/public/api/candidate_education.php,508,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'method' => $_SERVER['REQUEST_METHOD'] ?? 'unknown',"
2875,/audit/backend/public/api/candidate_education.php,510,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
4486,/audit/backend/public/api/candidate_languages.php,0,HIGH,CORS header emitted in PHP,Access-Control-Allow-Origin ...
2885,/audit/backend/public/api/candidate_languages.php,35,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","header(""Access-Control-Allow-Origin: $origin"");"
2886,/audit/backend/public/api/candidate_languages.php,287,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2887,/audit/backend/public/api/candidate_languages.php,325,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'],"
2888,/audit/backend/public/api/candidate_languages.php,328,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2889,/audit/backend/public/api/candidate_languages.php,353,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Res::error(""Campo requerido faltante: {$field}"", 400);"
2890,/audit/backend/public/api/candidate_languages.php,384,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'],"
2891,/audit/backend/public/api/candidate_languages.php,389,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2892,/audit/backend/public/api/candidate_languages.php,421,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'] ?? 'unknown',"
2893,/audit/backend/public/api/candidate_languages.php,423,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2894,/audit/backend/public/api/candidate_languages.php,433,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'] ?? 'unknown',"
2895,/audit/backend/public/api/candidate_languages.php,434,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'method' => $_SERVER['REQUEST_METHOD'] ?? 'unknown',"
2896,/audit/backend/public/api/candidate_languages.php,436,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
4487,/audit/backend/public/api/candidate_references.php,0,HIGH,CORS header emitted in PHP,Access-Control-Allow-Origin ...
2907,/audit/backend/public/api/candidate_references.php,36,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","header(""Access-Control-Allow-Origin: $origin"");"
2908,/audit/backend/public/api/candidate_references.php,343,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2909,/audit/backend/public/api/candidate_references.php,381,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'],"
2910,/audit/backend/public/api/candidate_references.php,384,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2911,/audit/backend/public/api/candidate_references.php,409,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Res::error(""Campo requerido faltante: {$field}"", 400);"
2912,/audit/backend/public/api/candidate_references.php,442,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'],"
2913,/audit/backend/public/api/candidate_references.php,445,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2914,/audit/backend/public/api/candidate_references.php,480,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'] ?? 'unknown',"
2915,/audit/backend/public/api/candidate_references.php,482,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2916,/audit/backend/public/api/candidate_references.php,492,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'] ?? 'unknown',"
2917,/audit/backend/public/api/candidate_references.php,493,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'method' => $_SERVER['REQUEST_METHOD'] ?? 'unknown',"
2918,/audit/backend/public/api/candidate_references.php,495,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2928,/audit/backend/public/api/candidate_routing.php,10,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (($_ENV['APP_ENV'] ?? 'production') === 'production' && !empty($_SERVER['HTTP_AUTHORIZATION'])) {
2929,/audit/backend/public/api/candidate_routing.php,57,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","['ok' => $ok, 'errors' => $errs] = Val::validate(['candidate_id' => $candidateId], ["
2930,/audit/backend/public/api/candidate_routing.php,79,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","['ok' => $ok, 'errors' => $errs] = Val::validate($payload, ["
2931,/audit/backend/public/api/candidate_routing.php,100,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","isset($payload['recruiter_id']) ? (int)$payload['recruiter_id'] : null,"
2932,/audit/backend/public/api/candidate_routing.php,106,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$upd->execute([(int)$payload['department_id'], $payload['candidate_id']]);"
4488,/audit/backend/public/api/candidate_skills.php,0,HIGH,CORS header emitted in PHP,Access-Control-Allow-Origin ...
2939,/audit/backend/public/api/candidate_skills.php,35,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","header(""Access-Control-Allow-Origin: $origin"");"
2940,/audit/backend/public/api/candidate_skills.php,279,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2941,/audit/backend/public/api/candidate_skills.php,317,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'],"
2942,/audit/backend/public/api/candidate_skills.php,320,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2943,/audit/backend/public/api/candidate_skills.php,345,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Res::error(""Campo requerido faltante: {$field}"", 400);"
2944,/audit/backend/public/api/candidate_skills.php,375,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'],"
2945,/audit/backend/public/api/candidate_skills.php,379,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2946,/audit/backend/public/api/candidate_skills.php,410,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'] ?? 'unknown',"
2947,/audit/backend/public/api/candidate_skills.php,412,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2948,/audit/backend/public/api/candidate_skills.php,422,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'user_id' => $userPayload['user_id'] ?? 'unknown',"
2949,/audit/backend/public/api/candidate_skills.php,423,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'method' => $_SERVER['REQUEST_METHOD'] ?? 'unknown',"
2950,/audit/backend/public/api/candidate_skills.php,425,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
4482,/audit/backend/public/api/candidates.php,0,HIGH,CORS header emitted in PHP,Access-Control-Allow-Origin ...
2619,/audit/backend/public/api/candidates.php,51,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","header(""Access-Control-Allow-Origin: $origin"");"
2620,/audit/backend/public/api/candidates.php,79,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (($_ENV['APP_ENV'] ?? 'production') === 'production' && !empty($_SERVER['HTTP_AUTHORIZATION'])) {
2621,/audit/backend/public/api/candidates.php,125,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$canOperate = $operationsThisHour < $limits['hour'] && $operationsToday < $limits['day'];
2622,/audit/backend/public/api/candidates.php,129,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'remaining_hour' => max(0, $limits['hour'] - $operationsThisHour),"
2623,/audit/backend/public/api/candidates.php,130,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'remaining_day' => max(0, $limits['day'] - $operationsToday),"
2624,/audit/backend/public/api/candidates.php,131,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'reset_time_hour' => $currentTime + $limits['window'],"
2625,/audit/backend/public/api/candidates.php,163,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ['hour' => self::$maxReadPerHour, 'day' => self::$maxReadPerDay, 'window' => self::$windowHour];"
2626,/audit/backend/public/api/candidates.php,165,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ['hour' => self::$maxCreatePerHour, 'day' => self::$maxCreatePerDay, 'window' => self::$windowHour];"
2627,/audit/backend/public/api/candidates.php,167,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ['hour' => self::$maxUpdatePerHour, 'day' => self::$maxUpdatePerDay, 'window' => self::$windowHour];"
2628,/audit/backend/public/api/candidates.php,169,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","return ['hour' => self::$maxDeletePerHour, 'day' => self::$maxDeletePerDay, 'window' => self::$windowHour];"
2629,/audit/backend/public/api/candidates.php,257,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown',"
2630,/audit/backend/public/api/candidates.php,258,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'remaining_hour' => $rateLimitResult['remaining_hour'],"
2631,/audit/backend/public/api/candidates.php,259,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'remaining_day' => $rateLimitResult['remaining_day']
2632,/audit/backend/public/api/candidates.php,279,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'ip_address' => $_SERVER['REMOTE_ADDR'] ?? 'unknown',"
2633,/audit/backend/public/api/candidates.php,280,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'remaining_hour' => $rateLimitResult['remaining_hour'],"
2634,/audit/backend/public/api/candidates.php,281,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'remaining_day' => $rateLimitResult['remaining_day']
2635,/audit/backend/public/api/candidates.php,326,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$id = isset($_GET['id']) ? (int)$_GET['id'] : 0;
2636,/audit/backend/public/api/candidates.php,397,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$params = [':limit' => $limit, ':offset' => $offset];"
2637,/audit/backend/public/api/candidates.php,400,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","if (!empty($_GET['status']) && in_array($_GET['status'], ['active', 'inactive', 'pending'])) {"
2638,/audit/backend/public/api/candidates.php,402,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$params[':status'] = $_GET['status'];
2639,/audit/backend/public/api/candidates.php,406,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","if (!empty($_GET['department_id']) && filter_var($_GET['department_id'], FILTER_VALIDATE_INT)) {"
2640,/audit/backend/public/api/candidates.php,408,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$params[':department_id'] = $_GET['department_id'];
2641,/audit/backend/public/api/candidates.php,411,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$whereClause = !empty($whereConditions) ? 'WHERE ' . implode(' AND ', $whereConditions) : '';"
2642,/audit/backend/public/api/candidates.php,430,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if ($key === ':limit' || $key === ':offset') {
2643,/audit/backend/public/api/candidates.php,448,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$countStmt = $pdo->prepare(""SELECT COUNT(*) as total FROM bt_candidates c {$whereClause}"");"
2644,/audit/backend/public/api/candidates.php,482,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2645,/audit/backend/public/api/candidates.php,497,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'errors' => $validation['errors'],"
2646,/audit/backend/public/api/candidates.php,500,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","ResponseHelper::error('Error de validación', 422, ['errors' => $validation['errors']]);"
2647,/audit/backend/public/api/candidates.php,541,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$emailCheck->bindParam(':email', $validData['email'], PDO::PARAM_STR);"
2648,/audit/backend/public/api/candidates.php,546,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'email' => $validData['email'],"
2649,/audit/backend/public/api/candidates.php,554,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$nameParts = explode(' ', trim($validData['name']), 2);"
2650,/audit/backend/public/api/candidates.php,576,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","':name' => $validData['name'],"
2651,/audit/backend/public/api/candidates.php,579,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","':email' => $validData['email'],"
2652,/audit/backend/public/api/candidates.php,581,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","':phone' => $validData['phone'] ?? null,"
2653,/audit/backend/public/api/candidates.php,582,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","':location' => $validData['location'] ?? null,"
2654,/audit/backend/public/api/candidates.php,583,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","':status' => $validData['status'] ?? 'active',"
2655,/audit/backend/public/api/candidates.php,585,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","':department_id' => $validData['department_id'] ?? null,"
2656,/audit/backend/public/api/candidates.php,586,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","':department_category_id' => $validData['department_category_id'] ?? null,"
2657,/audit/backend/public/api/candidates.php,587,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","':experience_years' => $validData['experience_years'] ?? null,"
2658,/audit/backend/public/api/candidates.php,588,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",':salary_expectation' => $validData['salary_expectation'] ?? null
2659,/audit/backend/public/api/candidates.php,594,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!empty($validData['skills']) && is_array($validData['skills'])) {
2660,/audit/backend/public/api/candidates.php,615,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'email' => $validData['email']
2661,/audit/backend/public/api/candidates.php,620,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'email' => $validData['email'],"
2662,/audit/backend/public/api/candidates.php,628,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'email' => $validData['email'],"
2663,/audit/backend/public/api/candidates.php,646,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",$id = isset($_GET['id']) ? (int)$_GET['id'] : 0;
2664,/audit/backend/public/api/candidates.php,658,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'ip' => $_SERVER['REMOTE_ADDR'] ?? 'unknown'
2665,/audit/backend/public/api/candidates.php,694,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'errors' => $validation['errors'],"
2666,/audit/backend/public/api/candidates.php,698,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","ResponseHelper::error('Error de validación', 422, ['errors' => $validation['errors']]);"
2667,/audit/backend/public/api/candidates.php,720,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (isset($validData['email']) && $validData['email'] !== $existingCandidate['email']) {
2668,/audit/backend/public/api/candidates.php,723,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","':email' => $validData['email'],"
2669,/audit/backend/public/api/candidates.php,731,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'email' => $validData['email'],"
2670,/audit/backend/public/api/candidates.php,741,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$nameParts = explode(' ', trim($validData['name']), 2);"
2671,/audit/backend/public/api/candidates.php,742,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$validData['first_name'] = htmlspecialchars($nameParts[0], ENT_QUOTES, 'UTF-8');"
2672,/audit/backend/public/api/candidates.php,743,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$validData['last_name'] = isset($nameParts[1]) ? htmlspecialchars($nameParts[1], ENT_QUOTES, 'UTF-8') : '';"
2673,/audit/backend/public/api/candidates.php,766,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$updateFields[] = ""$field = :$field"";"
2674,/audit/backend/public/api/candidates.php,767,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$params["":$field""] = $value;"
2675,/audit/backend/public/api/candidates.php,772,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$updateQuery = 'UPDATE bt_candidates SET ' . implode(', ', $updateFields) . ', updated_at = NOW() WHERE id = :id';"
2676,/audit/backend/public/api/candidates.php,778,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (isset($validData['skills']) && is_array($validData['skills'])) {
2677,/audit/backend/public/api/candidates.php,840,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'ip' => $_SERVER['REMOTE_ADDR'] ?? 'unknown',"
2678,/audit/backend/public/api/candidates.php,841,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'user_agent' => $_SERVER['HTTP_USER_AGENT'] ?? 'unknown'
2679,/audit/backend/public/api/candidates.php,844,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","\Utils\Logger::info(""Security Event: {$event}"", $securityContext);"
2680,/audit/backend/public/api/candidates.php,860,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Campo requerido faltante o vacío: {$field}"";"
2681,/audit/backend/public/api/candidates.php,949,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Campo requerido faltante: {$field}"";"
2682,/audit/backend/public/api/candidates.php,957,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","if (isset($rules['allowed_values']) && !in_array($value, $rules['allowed_values'])) {"
2683,/audit/backend/public/api/candidates.php,958,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Valor no válido para {$field}: "" . implode(', ', $rules['allowed_values']);"
2684,/audit/backend/public/api/candidates.php,967,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Campo {$field} debe ser un número entero válido"";"
2685,/audit/backend/public/api/candidates.php,974,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Campo {$field} debe ser un número válido"";"
2686,/audit/backend/public/api/candidates.php,981,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Campo {$field} debe ser un email válido"";"
2687,/audit/backend/public/api/candidates.php,987,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Campo {$field} debe tener un formato de teléfono válido"";"
2688,/audit/backend/public/api/candidates.php,993,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Campo {$field} debe tener al menos {$rules['min_length']} caracteres"";"
2689,/audit/backend/public/api/candidates.php,997,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Campo {$field} debe contener al menos una mayúscula, una minúscula, un número y un carácter especial"";"
2690,/audit/backend/public/api/candidates.php,1003,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Campo {$field} debe ser un array"";"
2691,/audit/backend/public/api/candidates.php,1007,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Campo {$field} no puede tener más de {$rules['max_items']} elementos"";"
2692,/audit/backend/public/api/candidates.php,1013,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Cada elemento de {$field} debe ser una cadena de máximo {$rules['item_max_length']} caracteres"";"
2693,/audit/backend/public/api/candidates.php,1022,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (isset($rules['min_length']) && is_string($value) && strlen($value) < $rules['min_length']) {
2694,/audit/backend/public/api/candidates.php,1023,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$errors[] = ""Campo {$field} debe tener al menos {$rules['min_length']} caracteres"";"
